[2025-05-25 11:46:48,341] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,413] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,506] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,585] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,662] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,744] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,832] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,909] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,999] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,076] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,157] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,242] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,309] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,397] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,473] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,547] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,625] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,708] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,800] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,875] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:49,960] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,041] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,120] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,200] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,285] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,364] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,441] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,518] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,590] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,672] [ERROR] Error Insert to DB read of closed file
